Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
"BAT1, BAT2, BAT5",BAT-SMD_MY-AAA-20-J,3,MY-AAA-20-J,C6937107
"BAT3, BAT4, BAT6",BAT-SMD_MY-AAA-19-J,3,MY-AAA-19-J,C6937104
"C1, C2",0402,2,10u,
"C10, C11, C5, C6, C8",0402,5,1u,
"C12, C13, C7, C9",C0805,4,47u,C16780
"C14, C17, C18, C19, C20, C21",0402,6,0.1u,
"C3, C4",0402,2,18p,
CN1,IDC-SMD_10P-P1.27-3220-10-0300-00,1,SWD PINS,C42372555
CN16,AUDIO-SMD_PJ-327A5JJ,1,HP OUT,C668605
CN2,CONN-SMD_6P-P2.54_BH254VS,1,SAO connector,C492445
D1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USBLC6-2SC6,C7519
J1,spike_copper,1,Conn_01x32,
LED1,LED-SMD_4P-L4.0-W1.6-L,1,SK6812SIDE-A_C5378721,C5378721
LS1,FS1818MS0410-H5.9-R01,1,Speaker,
"R1, R3",0402,2,5.1k,
"R10, R11, R12, R6, R7",0402,5,20k,
"R13, R14, R15, R18, R2, R20",0402,6,10K,
"R19, R22",0402,2,75K,
R4,RES-SMD_RK10J11R0A0H,1,RK10J11R0A0H,C470766
R5,0402,1,100K,
"R8, R9",0402,2,1K,
SW1,SW-TH_K3-1296S-E1,1,K3-1296S-E1_C128955,C128955
SW2,SW-SMD_L3.9-W3.0-P4.45,1,RST,C720477
"TP10, TP11, TP12, TP7, TP8, TP9",TestPoint_Pad_1.5x1.5mm,6,TestPoint,
U2,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,ATtiny1616-M,
U3,QFN-48-1EP_7x7mm_P0.5mm_EP5.15x5.15mm,1,ATSAMD21G18A-M,
U4,SOT-23-5,1,AP2112K-3.3,
"U5, U7",DFN1006-2L-BI,2,H3V3U10B,C20615782
U6,MSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,1,LM4853MM/NOPB,C2872995
"U8, U9",QFN-20_L3.0-W3.0-P0.40-BL,2,MPR121QR2,C91322
USBC1,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,C165948
X2,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
